page_number,source_line,category,concept,amount_raw,amount_numeric,parser_confidence
38,1,ingresos,ingresos,2742.91,2742.91,0.7565
38,2,ingresos,ingresos,2'7742.91,27742.91,0.7658
38,5,ingresos,ingresos,02713.7,2713.7,0.8903
38,6,ingresos,ingresos,6777.96,6777.96,0.7655
38,7,ingresos,ingresos,697161.58,697161.58,0.7327
38,8,ingresos,ingresos,06.96,6.96,0.8065
38,9,ingresos,ingresos,836.38,836.38,0.8131
38,10,ingresos,ingresos,34'6367.08,346367.08,0.7173
38,11,ingresos,7,319.21,319.21,0.6917
38,12,ingresos,AOS,,,0.5502
38,15,NGRESO,ORO,,,0.8652
38,16,NGRESO,NGRESO,29106795.46,29106795.46,0.8103
38,17,NGRESO,NGRESO,526.50,526.5,0.7661
38,18,NGRESO,367,2358.4,2358.4,0.6714
38,20,NGRESO,NGRESO,855,855.0,0.7202
38,21,NGRESO,NGRESO,823.50,823.5,0.7137
38,22,NGRESO,_ 3137,,,0.6152
38,24,NGRESO,ONO,,,0.4085
38,25,NGRESO,R   AT,,,0.4857
38,26,NGRESO,NGRESO,0213.7,213.7,0.899
38,27,NGRESO,NGRESO,57.51,57.51,0.8048
38,28,NGRESO,NGRESO,6581875.00,6581875.0,0.7021
38,29,NGRESO,NGRESO,014.96,14.96,0.716
38,30,NGRESO,NGRESO,89.8,89.8,0.7719
38,31,NGRESO,NGRESO,82523.58,82523.58,0.8984
38,32,NGRESO,_,56396.6,56396.6,0.7448
38,33,NGRESO,NGRESO,"7282,16.68",728216.68,0.7887
38,37,DOS VZADVOS,AN0,1963,1963.0,0.7776
38,38,DOS VZADVOS,A,,,0.4713
38,42,I.DADAS,ACE,,,0.8118
38,47,VII.ORR.I..,Digitized by,,,1.0
100,1,egresos,全,73772.92,73772.92,0.7572
100,2,egresos,家,7372.92,7372.92,0.7932
100,3,egresos,eno eso,,,0.7783
100,5,OMACION,OMACION,217180.00,217180.0,0.9236
100,6,OMACION,OMACION,"217,180.00",217180.0,0.945
100,7,OMACION,ay geso,,,0.7664
100,8,OMACION,ORO,,,0.9845
100,9,OMACION,OMACION,87862.08,87862.08,0.8144
100,10,OMACION,OMACION,"217,180.00",217180.0,0.9219
100,11,OMACION,OMACION,609582.08,609582.08,0.8085
100,12,OMACION,OMACION,0952.08,952.08,0.9514
100,13,OMACION,OMACION,1525.0,1525.0,0.7415
100,14,OMACION,OMACION,56.602.92,56602.92,0.8774
100,20,IPUTADOS,S/,,,0.7805
100,21,IPUTADOS,./S,,,0.7698
100,22,IPUTADOS,RERG,3,3.0,0.5541
100,23,IPUTADOS,IPUTADOS,2,2.0,0.6818
100,25,ÉALLOS,ÉALLOS,1525.0,1525.0,0.7169
100,26,ÉALLOS,/,1525.0,1525.0,0.7216
100,28,UTRIZADO,ST,,,0.9364
100,31,UTRIZADO,E,78,78.0,0.7887
100,37,OTALEGO,ESO,,,0.8832
100,40,CAPITUUNICO,DE,,,0.9753
100,42,CAPITUUNICO,DO. OOEC,58,58.0,0.7188
100,45,CAMA OS,CAMA OS,49,49.0,1.0
100,46,CAMA OS,Digitized by,,,1.0
190,1,egresos,egresos,57325.02,57325.02,0.804
190,2,egresos,egresos,350,350.0,0.9616
190,3,egresos,egresos,592816.16,592816.16,0.74
190,4,egresos,egresos,57325.02,57325.02,0.8175
190,5,egresos,egresos,3270.36,3270.36,0.8583
190,6,egresos,',426.0,426.0,0.7221
190,7,egresos,Mean greo,,,0.7373
190,9,egresos,egresos,193.17,193.17,0.7947
190,10,egresos,egresos,332.32,332.32,0.7547
190,11,egresos,egresos,99'412.38,99412.38,0.8397
190,12,egresos,egresos,810.15,810.15,0.7924
190,13,egresos,egresos,50.07,50.07,0.7698
190,14,egresos,egresos,1032.70,1032.7,0.814
190,15,egresos,ayor go,,,0.7586
190,16,egresos,ORO,,,0.9859
190,17,egresos,egresos,7919.41,7919.41,0.8556
190,18,egresos,egresos,7.30,7.3,0.9265
190,19,egresos,egresos,478.71,478.71,0.9191
190,20,egresos,egresos,193.17,193.17,0.7602
190,21,egresos,egresos,4787.71,4787.71,0.8263
190,23,egresos,egresos,87774.8,87774.8,0.6582
190,24,egresos,egresos,254,254.0,0.8058
190,25,egresos,egresos,3097.1,3097.1,0.8604
190,26,egresos,egresos,15071.01,15071.01,0.8477
190,27,egresos,egresos,827161.57,827161.57,0.7216
190,29,egresos,JCO,,,0.6415
190,32,egresos,./S,,,0.7222
190,33,egresos,S/,1,1.0,0.763
190,34,egresos,egresos,2,2.0,0.8792
190,35,egresos,egresos,791.41,791.41,0.7969
190,36,egresos,egresos,58'771.3,58771.3,0.672
190,37,egresos,egresos,89057.07,89057.07,0.8071
190,38,egresos,egresos,52788.684,52788684.0,0.5928
190,39,egresos,egresos,797.41,797.41,0.791
190,40,egresos,REN,3,3.0,0.5499
190,41,egresos,egresos,4'8.31,48.31,0.8801
190,43,egresos,OET,,,0.6917
190,45,UTORIZADO,I A,,,0.5772
190,48,UTORIZADO,E,780,780.0,0.7969
190,49,UTORIZADO,U  D,,,0.5658
190,55,OT AUT  UDO,MAY,,,0.7322
190,58,MI. FASI,TO,,,0.6666
190,63,CAPITULOS,DE,,,0.8263
190,65,MINIIRIO,D,58,58.0,0.7204
190,67,MINIIRIO,MINIIRIO,139,139.0,1.0
190,68,MINIIRIO,Google,,,1.0
190,69,MINIIRIO,Digitized by,,,1.0
226,1,egresos,egresos,16.72.10,1672.1,0.8122
226,2,egresos,egresos,6177.30,6177.3,0.9016
226,3,egresos,egresos,6903.2,6903.2,0.649
226,4,egresos,egresos,771.17,771.17,0.8135
226,5,egresos,egresos,4158.13,4158.13,0.8112
226,6,egresos,egresos,3375.87,3375.87,0.9085
226,7,egresos,egresos,72.20,72.2,0.9401
226,8,egresos,egresos,887.58,887.58,0.9605
226,9,egresos,'21,3.81,3.81,0.654
226,10,egresos,egresos,868.15,868.15,0.8386
226,11,egresos,egresos,3255,3255.0,0.8875
226,12,egresos,egresos,332.5,332.5,0.8122
226,13,egresos,enEeso,,,0.7797
226,15,egresos,egresos,26976.25,26976.25,0.705
226,16,egresos,egresos,187.34,187.34,0.9564
226,17,egresos,egresos,577.68,577.68,0.8643
226,18,egresos,egresos,5601.28,5601.28,0.8468
226,19,egresos,egresos,4021.13,4021.13,0.7302
226,20,egresos,egresos,"342,.68",342.68,0.7202
226,21,egresos,egresos,788.31,788.31,0.837
226,22,egresos,egresos,623.99,623.99,0.8181
226,23,egresos,aEso,,,0.6768
226,24,egresos,ORO,,,0.9863
226,26,egresos,egresos,50.85,50.85,0.8388
226,27,egresos,egresos,829.40,829.4,0.8169
226,28,egresos,egresos,12777.66,12777.66,0.8276
226,29,egresos,egresos,21212.7,21212.7,0.8389
226,30,egresos,egresos,582.0,582.0,0.8027
226,31,egresos,egresos,09'897.21,9897.21,0.8034
226,32,egresos,egresos,29.2,29.2,0.7276
226,33,egresos,egresos,420.04,420.04,0.7309
226,34,egresos,4,43,43.0,0.7165
226,35,egresos,egresos,872351,872351.0,0.9099
226,36,egresos,egresos,6835.16,6835.16,0.7362
226,37,egresos,',780.31,780.31,0.7951
226,38,egresos,egresos,47,47.0,0.8936
226,39,egresos,egresos,47,47.0,0.7244
226,40,egresos,egresos,677303,677303.0,0.8508
226,41,egresos,egresos,66.56,66.56,0.7544
226,47,egresos,RNR,93,93.0,0.6073
226,48,egresos,S,1,1.0,0.7277
226,49,egresos,S,1,1.0,0.6875
226,50,egresos,egresos,2,2.0,0.9904
226,51,egresos,egresos,97732.70,97732.7,0.8473
226,52,egresos,egresos,5.70,5.7,0.8192
226,53,egresos,egresos,"8407,10.90",840710.9,0.7524
226,54,egresos,egresos,646.60,646.6,0.7807
226,55,egresos,egresos,4'7.20,47.2,0.72
226,56,egresos,egresos,045.40,45.4,0.8676
226,57,egresos,egresos,01.14,1.14,0.8135
226,58,egresos,egresos,19'120807.62,19120807.62,0.8195
226,59,egresos,egresos,6733.11,6733.11,0.9088
226,60,egresos,egresos,55.66,55.66,0.774
226,61,egresos,egresos,6072703,6072703.0,0.7009
226,62,egresos,egresos,67703,67703.0,0.8384
226,67,UTRIZADO,E,780,780.0,0.7639
226,68,UTRIZADO,UD,,,0.6274
226,69,UTRIZADO,TTO,,,0.9147
226,73,TÉOUT AAUDO,BAS,,,0.9681
226,77,OT  LIEGO,ESO,,,0.8034
226,90,A IRIAI,DE,,,0.8263
226,92,MINIEIO,MINIEIO,158,158.0,0.8653
226,93,MINIEIO,MINIEIO,175,175.0,1.0
226,94,MINIEIO,Google,,,1.0
226,95,MINIEIO,Digitized by,,,1.0
272,1,egresos,egresos,"266,10.30",26610.3,0.7626
272,2,egresos,egresos,7637.12,7637.12,0.8394
272,3,egresos,',13974.55,13974.55,0.7437
272,4,egresos,egresos,"2600,071.10",2600071.1,0.8733
272,5,egresos,egresos,67673.07,67673.07,0.8605
272,6,egresos,egresos,673.07,673.07,0.7503
272,7,egresos,egres,,,0.7796
272,9,egresos,egresos,1177.94,1177.94,0.7575
272,10,egresos,egresos,998567.19,998567.19,0.9072
272,11,egresos,egresos,6..77,6.77,0.8516
272,12,egresos,egresos,223130.90,223130.9,0.8352
